,MSOA11CD,MSOA11NM,pop0-49,pop50-59,pop60-69,pop70-79,pop80-89,pop90+,total_pop,geometry,MSOA,MSOA_with_supply,dissolve
1,E02002527,Redcar and Cleveland 013,3094,709,573,484,159,59,5078,"POLYGON ((471385.4547182356 520187.9116093202, 471252.7071474532 519324.5613255475, 471868.0657320506 519154.8688532057, 472167.9385888814 518439.3551293112, 472777.4158361414 518875.1306618751, 472917.831937283 518194.468512255, 471277.9048346975 517986.4771174632, 471336.1817144361 517524.3483287871, 470862.8913876057 517527.4734998231, 470503.8022819316 517828.2887169323, 470941.8132640725 518399.4735465684, 470867.7661985314 519056.2862746624, 470726.8489246145 518480.4728247088, 470030.0250656438 518319.5610767349, 469407.3471544067 518972.6499297147, 469933.319640535 519007.1538546628, 470093.2384388326 519515.1555856946, 470725.2271998199 519313.791309179, 470960.4468306526 520357.4726545967, 470223.2613385994 520594.5650421487, 470500.1804504099 520916.4492312911, 471080.8482539052 520401.8734868113, 471194.7922560623 520525.3367163977, 471285.752493322 520445.6455871336, 471328.6368978167 520195.4800246294, 471385.4547182356 520187.9116093202))",FALSE,FALSE,1
2,E02002692,East Riding of Yorkshire 009,4692,1490,1303,1090,396,108,9079,"POLYGON ((474512.2152166703 447982.733587203, 474236.8193623254 447799.9558991154, 474448.0026665116 446453.1503627126, 474232.0030815287 446478.7429974491, 474088.2890612942 445732.379705467, 472016.1110996288 445565.5961421921, 470885.1420871469 444376.7448857595, 469131.9393121654 444704.2265298655, 469730.5272860471 445238.814225897, 469845.0193374174 446269.9918015455, 470255.0172833769 446373.3922472427, 470264.9159230128 447331.7585111741, 470920.1288379663 447791.5281715512, 470425.7144773158 448696.6529604662, 470777.6741378948 449301.7696776651, 470469.7769879933 451262.2417484054, 470879.5773749801 452131.4750718551, 470020.1607161133 453012.5947461545, 470405.9165413589 454750.8665460858, 470888.1873884696 455433.6654134092, 470559.2672258908 455587.1075366101, 471372.3125348719 455667.8230948763, 471716.1179330416 456275.7803357203, 472603.3964159124 456510.7554454101, 472936.4763310911 457626.5103018366, 473642.7187438268 458087.477925987, 473585.5582707888 458490.2466842398, 474813.1777700511 458420.2708767697, 475753.1663566906 458856.244019752, 476069.1844303212 457007.0659417283, 475647.3747073484 456881.2561518956, 475482.4761587396 456306.3902195166, 475859.2644649642 455295.6822325147, 477376.6796026428 454787.4290135332, 477900.3919773479 455189.0532506325, 479304.3868028546 455348.033190041, 480898.8584683844 454859.3489812316, 480467.4887216238 454593.4261245012, 480317.2665588046 453272.5176403361, 479232.8253930421 452953.5449910886, 479086.0218458185 452359.1446082715, 478668.115952399 452416.4562296094, 477870.527838445 451673.382100933, 475874.2386865871 450739.2737977194, 476233.2904742622 450309.0038981746, 474822.2618935492 449678.5750364939, 474512.2152166703 447982.733587203))",FALSE,FALSE,1
3,E02002693,East Riding of Yorkshire 010,3247,1271,1167,1040,372,59,7156,"POLYGON ((517327.0237755819 458121.16990645, 517434.2130538312 457674.9589362358, 518938.2289348577 453056.557087971, 519999.3255905923 450189.3446082744, 520022.5331167742 450126.634394495, 520054.069341132 450050.1061126832, 519785.1963383533 449308.2504712435, 519928.2230397714 449043.9302118225, 520226.9493327446 449252.9268204664, 520249.3412455232 448600.3217251907, 519649.3819213834 448313.8348088731, 519828.3666612519 448039.7203581941, 518604.8553477996 447406.1230003708, 519885.8641969887 446667.6601118012, 519701.5923923631 446202.5340650907, 519927.9872206528 446264.4803211968, 520138.9810866636 445510.6536847117, 519504.4591606321 445285.6647984256, 518428.0688420483 445052.6172344711, 516688.4474430535 445327.5167392096, 516299.4464719584 443981.7217919842, 514914.7804637998 444092.8632045661, 514500.8110544913 446067.9935061001, 513621.0626309017 446614.5464407252, 513481.533971519 446133.6645880525, 512876.6270541084 445775.2452420505, 512478.3842793176 445872.2075934269, 511993.1115177874 446708.441007594, 510971.9554981241 446045.1279579551, 509901.313926902 446328.1464561282, 509560.1120422221 447168.4781258799, 507963.5033892038 446967.8701933915, 507276.7260691017 447556.6173341634, 507385.4925016905 448443.730080402, 508028.8780868446 448976.0393706791, 507931.8666634351 449889.156754307, 507139.3755131513 450192.2686079084, 507210.5352636795 450511.5857423525, 507308.6697964788 450986.0521724102, 507900.0313930559 451118.860978854, 508180.9210728299 452027.0833102801, 507655.4203118304 452513.2668966342, 507037.3338159543 452486.5767878398, 507030.4232415064 452833.3560055544, 506387.4297424469 452917.5705301047, 506113.5447335751 453888.822694629, 506770.4095882787 454448.745122464, 507486.2145345865 454407.060004308, 507119.9027985045 455002.3296362868, 507436.800531143 455329.0503415494, 507940.1008345686 455060.9377694237, 508441.1955284388 455525.2418286499, 508145.5956274614 456324.1383624773, 508885.5396392022 456279.0539250795, 509088.2760399506 456611.1412967256, 509096.3622570992 457449.7269386601, 508722.4844507087 457941.9996581909, 509246.846191306 459127.2115182916, 508910.5632869136 459385.5179358897, 508861.9592069194 460600.5996702095, 510083.5400432494 461424.8840728127, 510468.0392006753 461358.7013173513, 510590.5479722921 460250.3101640252, 511214.4550506524 460105.4074361795, 511036.6474619594 459587.7229957526, 511721.6548396634 458381.8380543984, 512165.7531452811 458168.0593182786, 514292.1354585516 459335.9343307738, 515639.0013189403 458258.071622325, 517120.6176483753 458611.3477104051, 517327.0237755819 458121.16990645))",FALSE,FALSE,1
4,E02002694,East Riding of Yorkshire 011,6305,1925,1585,1479,694,136,12124,"POLYGON ((484978.6210707653 457448.011488029, 483598.5430682332 456779.3302865253, 484990.2515341099 457060.9455958707, 485652.158927354 456864.6414103208, 486291.2317462893 456082.3539104275, 485344.2707250339 455623.0341672268, 484877.4735782896 454720.519999621, 484926.7995421946 454005.7031421381, 486344.1083674206 453636.3456511225, 490109.5451260493 454666.8956625306, 490056.380193343 452496.4056454712, 490335.6950279909 451554.3273175078, 489865.5777425162 450446.5129050842, 490080.8951213934 449645.5070371677, 490318.2795673875 448828.0280208599, 489146.2481044525 448220.1069806312, 489233.2259854946 447849.8462593944, 490967.2500943039 446284.7608071849, 490081.4295346906 445316.6818480103, 487089.2600298257 443530.7679113159, 485928.3875836204 444211.4095050511, 484718.2158186818 443975.6959874885, 484076.3187436736 445560.0555850099, 486270.8370683533 446843.3861589723, 485374.5504830941 447653.6508344535, 485115.9675534084 447150.9873536378, 484568.4631985099 447331.4646057906, 483115.9582429343 448682.9353713342, 481308.7540234654 447484.462757471, 480290.1168481407 445354.6290157875, 480055.8731585366 445599.6968503505, 479541.9941387816 445361.601600399, 479001.1851001738 445861.69204084, 479712.5817094949 446537.7773623202, 479941.1653075868 447442.9759967818, 477572.1630599389 448756.900594459, 476961.9819813878 448149.7886527296, 474512.2152166703 447982.733587203, 474822.2618935492 449678.5750364939, 476233.2904742622 450309.0038981746, 475874.2386865871 450739.2737977194, 477870.527838445 451673.382100933, 478668.115952399 452416.4562296094, 479086.0218458185 452359.1446082715, 479232.8253930421 452953.5449910886, 480317.2665588046 453272.5176403361, 480467.4887216238 454593.4261245012, 480898.8584683844 454859.3489812316, 479304.3868028546 455348.033190041, 477900.3919773479 455189.0532506325, 477376.6796026428 454787.4290135332, 475859.2644649642 455295.6822325147, 475482.4761587396 456306.3902195166, 475647.3747073484 456881.2561518956, 476069.1844303212 457007.0659417283, 475753.1663566906 458856.244019752, 478778.5210364555 459344.0241514798, 478774.7437379941 458783.5263638716, 483006.6699405058 460104.1095975948, 483288.5246431869 458155.1175644852, 484585.3345273281 458008.3218927633, 484978.6210707653 457448.011488029))",FALSE,FALSE,1
5,E02002695,East Riding of Yorkshire 012,3631,1197,1366,1367,628,116,8305,"POLYGON ((525046.5153655334 440638.0804923716, 523460.548939537 440303.5962908064, 522692.6723320608 440734.4254069156, 522375.1731792418 441230.1368374305, 521786.6722570232 441258.1240167895, 521597.1683190346 442842.3413516021, 519950.9471697249 443776.8998431914, 519504.4591606321 445285.6647984256, 520138.9810866636 445510.6536847117, 519927.9872206528 446264.4803211968, 519701.5923923631 446202.5340650907, 519885.8641969887 446667.6601118012, 518604.8553477996 447406.1230003708, 519828.3666612519 448039.7203581941, 519649.3819213834 448313.8348088731, 520249.3412455232 448600.3217251907, 520226.9493327446 449252.9268204664, 519928.2230397714 449043.9302118225, 519785.1963383533 449308.2504712435, 520054.069341132 450050.1061126832, 520942.0171467868 447895.3378071275, 521096.6424788798 447471.1375971747, 521340.9047119751 446679.1202433048, 522114.9083514591 445417.3063322876, 522332.0377637426 444903.4538519486, 524057.025293738 442251.1877040087, 525046.5153655334 440638.0804923716))",FALSE,FALSE,1
6,E02002696,East Riding of Yorkshire 013,2914,1019,897,703,312,62,5907,"POLYGON ((506243.7200091394 447162.1050712328, 506369.6716596314 446275.5174896355, 505522.0658257997 445617.922207007, 505584.6627628516 444440.5693859399, 504776.5771919353 444306.7628741451, 505323.5741343568 443597.731985555, 505348.8881369018 442613.4155347892, 504530.4487971674 442351.9029021825, 500096.5434816157 441247.8866995084, 497556.2837707114 440850.5983496761, 496774.1693002942 441038.1963001399, 494773.9119164901 439911.5321101118, 494243.5020869658 440362.8244681245, 493953.9791958911 440189.9444451343, 491898.0177183 445844.8526829522, 490967.2500943039 446284.7608071849, 489233.2259854946 447849.8462593944, 489146.2481044525 448220.1069806312, 490318.2795673875 448828.0280208599, 490080.8951213934 449645.5070371677, 493405.552538214 450323.2681876882, 495448.178050622 450223.2547645237, 496834.955569047 450496.6409002037, 496930.6448324078 450210.1101008977, 498182.2690525739 450213.1219567463, 498543.677351626 449784.532534664, 498620.1454673744 450189.7358342221, 499310.8620596131 450247.5388706154, 499163.9598211024 449801.6619817816, 499461.7717499521 449787.4146138176, 499548.893943073 450121.8530789393, 499654.7397554498 449897.2911542302, 501652.3636808851 449799.6516601442, 502813.5549872441 449038.5692408305, 503320.1009913492 449225.8341560411, 503884.9085926247 448643.7645397977, 504439.2354125816 448754.0404757196, 505581.6595117674 448171.3578724427, 506243.7200091394 447162.1050712328))",FALSE,FALSE,1
7,E02002698,East Riding of Yorkshire 015,4706,1176,1126,997,428,72,8505,"POLYGON ((493953.9791958911 440189.9444451343, 491985.5742867608 438983.3557391502, 489542.8830568134 438576.9129279611, 489759.327455539 438088.3511929385, 489449.7976996296 437894.5751655396, 488961.8245932796 436331.9102412497, 489139.9425349667 435469.1956548683, 485165.1841586899 434226.4175386798, 485038.6510032537 435302.3921605045, 484354.6440429549 436235.3503001375, 484248.0415728386 437375.1718169663, 485237.8503880223 437526.9500406692, 485598.3755631775 438689.0486447773, 485018.9011944251 439904.8944160868, 484061.6785577758 440646.5549880504, 483718.5259816225 442801.9232065587, 484718.2158186818 443975.6959874885, 485928.3875836204 444211.4095050511, 487089.2600298257 443530.7679113159, 490081.4295346906 445316.6818480103, 490967.2500943039 446284.7608071849, 491898.0177183 445844.8526829522, 493953.9791958911 440189.9444451343))",FALSE,FALSE,1
8,E02002701,East Riding of Yorkshire 018,4150,1506,1364,962,365,77,8424,"POLYGON ((484718.2158186818 443975.6959874885, 483718.5259816225 442801.9232065587, 484061.6785577758 440646.5549880504, 485018.9011944251 439904.8944160868, 485598.3755631775 438689.0486447773, 485237.8503880223 437526.9500406692, 484248.0415728386 437375.1718169663, 484354.6440429549 436235.3503001375, 485038.6510032537 435302.3921605045, 485165.1841586899 434226.4175386798, 484475.6705619343 434074.3866600543, 484702.2744338005 432592.5984457772, 483843.390749012 432741.0912157017, 482725.1015159237 432282.9658678845, 481200.1942176819 432907.2797389094, 480157.5970461718 433348.7822563598, 479332.5166048442 432414.0864044019, 475132.6402979619 431249.197248813, 474633.6462934329 430917.6631197216, 474311.8038294359 430129.8999068203, 473596.6933025519 429894.7179535038, 473350.4879380604 428959.9286967815, 472738.8047190912 428928.0486054915, 472810.0909921555 428303.9288200184, 472041.875892497 428229.2314458712, 471702.9899091388 429168.550014005, 470730.8622843238 429548.8298676678, 470497.5743993011 430066.3325356261, 470734.9700909047 430929.7154281087, 470170.4890690514 431971.3763238527, 470319.1340795759 432732.7889052855, 470705.8685220748 433953.3937000289, 470274.1435498568 434477.1134159949, 471196.590476562 436075.1858811128, 469834.2446759225 436880.9503472219, 469839.2689697279 437903.0723363491, 469378.7293765165 439114.9998233693, 469691.0634602774 440366.156707447, 469270.4030733058 441119.397667934, 469863.3650159533 441801.8398562282, 469822.7340590049 442623.2395196629, 470743.2600026383 442939.6367800839, 470862.7923049518 443267.0483358861, 470845.9355681202 444041.3314889146, 471100.7184225825 444220.6205894477, 470885.1420871469 444376.7448857595, 472016.1110996288 445565.5961421921, 474088.2890612942 445732.379705467, 474232.0030815287 446478.7429974491, 474448.0026665116 446453.1503627126, 474236.8193623254 447799.9558991154, 474512.2152166703 447982.733587203, 476961.9819813878 448149.7886527296, 477572.1630599389 448756.900594459, 479941.1653075868 447442.9759967818, 479712.5817094949 446537.7773623202, 479001.1851001738 445861.69204084, 479541.9941387816 445361.601600399, 480055.8731585366 445599.6968503505, 480290.1168481407 445354.6290157875, 481308.7540234654 447484.462757471, 483115.9582429343 448682.9353713342, 484568.4631985099 447331.4646057906, 485115.9675534084 447150.9873536378, 485374.5504830941 447653.6508344535, 486270.8370683533 446843.3861589723, 484076.3187436736 445560.0555850099, 484718.2158186818 443975.6959874885))",FALSE,FALSE,1
9,E02002707,East Riding of Yorkshire 024,3669,1289,1016,888,406,63,7331,"POLYGON ((494773.9119164901 439911.5321101118, 495587.2323289983 437627.711891563, 497666.2289396513 437679.1828160149, 499579.6401664162 438545.5868040159, 499544.9237517385 437142.9695701974, 499128.5405748957 436924.1172046408, 499253.5474663344 436519.1282452784, 499526.5401466015 436741.1263127709, 499791.4807686844 435905.3343342672, 501216.7089150387 436784.8665289916, 501928.3876476413 436794.4687382623, 502450.5296111281 437197.716855316, 503300.272641987 437125.9459830216, 503033.412477084 436511.9581959683, 503528.2241397847 436398.6200171654, 503756.9832574898 435258.4594705269, 503002.7240507482 435027.0208111886, 502827.5823220727 435381.7878992739, 502172.3557590027 435257.5051548036, 502158.2394024826 434789.3901083547, 501442.3389868883 434847.4735327903, 499858.7759755225 433997.5176041988, 499092.8055263323 433924.5718279739, 498786.6019163899 433383.2376920525, 499098.6119961639 432387.0885710202, 498180.9178338706 432130.5624178004, 498288.2599171812 431871.9470619939, 496971.7487370363 431114.3200635524, 496982.2499309426 430553.0650250401, 495682.129217373 430332.1906112818, 495822.4328123544 431384.8768619364, 495371.5460632502 431613.7748991629, 494378.6269137802 430690.0846055475, 494224.2161292344 429781.7012300711, 493759.0234075144 429771.8005743494, 493896.3015431308 429465.0796403919, 491753.5927792679 428367.1039948034, 491605.2410090418 427923.6753141425, 493618.5083402625 426432.749935081, 493614.8374016532 426429.0781548048, 492274.8962681129 426865.6878133166, 491286.9867655179 426958.2995837188, 490964.7829859762 426985.5003672425, 490639.9780192169 426972.6007578681, 490580.3773143918 426928.3003057942, 490457.6746868887 427270.9005979219, 490559.376823872 426935.6997065448, 490004.767993607 426694.5989214443, 490621.4771803184 426918.7996140695, 491246.6858292174 426921.9990607637, 490024.3533559688 426565.7939895078, 489969.9387436083 426545.8798381999, 488706.5555157742 428572.6106516231, 487832.181122551 427901.9501252914, 487607.4331954189 428553.9168936831, 488920.5517076091 429204.4925647933, 488557.1748094858 429637.1738322367, 488977.6780270458 429835.2061823575, 488681.5650522669 430306.8019745741, 491958.0371415761 432194.3829812328, 491255.5743043729 434526.0996478813, 490885.3902001258 434884.7924926747, 490152.7805333509 434853.7292576262, 490445.6452124764 435656.3582932034, 488961.8245932796 436331.9102412497, 489449.7976996296 437894.5751655396, 489759.327455539 438088.3511929385, 489542.8830568134 438576.9129279611, 491985.5742867608 438983.3557391502, 493953.9791958911 440189.9444451343, 494243.5020869658 440362.8244681245, 494773.9119164901 439911.5321101118))",FALSE,FALSE,1
10,E02002709,East Riding of Yorkshire 026,4169,1319,1086,870,402,74,7920,"POLYGON ((489969.9387436083 426545.8798381999, 487452.5529480617 425624.5759513308, 486786.1705320558 424345.4829136444, 486180.2788742817 423892.7787603688, 483754.4064375992 424224.3669323961, 482808.8197046028 423855.1700032434, 482759.2419308757 423847.3865270907, 482709.2776081304 423816.3046202561, 481697.1295723487 423421.1205586019, 481648.0334146161 423481.6614922769, 481396.1304216008 427588.2603107514, 480782.3301301649 427198.855918826, 480555.6395930508 428454.8513184637, 481290.9750001841 428632.2570824805, 481165.7406314083 429028.2177675152, 482231.5190574168 429681.5781822592, 481932.4030506445 429947.1731285028, 482530.8957744103 430509.2709485092, 481467.6235271591 430709.3642455061, 481200.1942176819 432907.2797389094, 482725.1015159237 432282.9658678845, 483843.390749012 432741.0912157017, 484702.2744338005 432592.5984457772, 484475.6705619343 434074.3866600543, 485165.1841586899 434226.4175386798, 489139.9425349667 435469.1956548683, 488961.8245932796 436331.9102412497, 490445.6452124764 435656.3582932034, 490152.7805333509 434853.7292576262, 490885.3902001258 434884.7924926747, 491255.5743043729 434526.0996478813, 491958.0371415761 432194.3829812328, 488681.5650522669 430306.8019745741, 488977.6780270458 429835.2061823575, 488557.1748094858 429637.1738322367, 488920.5517076091 429204.4925647933, 487607.4331954189 428553.9168936831, 487832.181122551 427901.9501252914, 488706.5555157742 428572.6106516231, 489969.9387436083 426545.8798381999))",FALSE,FALSE,1
