index,objectid,msoa11cd,point_lon,point_lat
1,311,E02002527,-0.895104331,54.55681346
2,1636,E02002692,-0.900405012,53.97979584
3,1634,E02002693,-0.271017027,53.94519033
4,1632,E02002694,-0.778200484,53.93153959
5,1631,E02002695,-0.168980611,53.90987514
6,1630,E02002696,-0.477693636,53.88171497
7,1639,E02002698,-0.66555827,53.86297086
8,1996,E02002701,-0.805555587,53.84308304
9,1984,E02002707,-0.604584243,53.77005628
10,2000,E02002709,-0.715143506,53.75861499
11,2088,E02002714,-0.082350972,53.72518256
12,1861,E02002720,-0.864347364,53.72363752
13,1862,E02002721,-0.840747012,53.72230032
14,1859,E02002722,0.033382743,53.72321766
15,1860,E02002723,-0.881331283,53.70693129
16,1857,E02002724,-0.868570449,53.70642866
17,1759,E02002753,-0.686725741,53.60367827
18,1757,E02002755,-0.655227815,53.59761456
19,1754,E02002756,-0.658677096,53.59330587
20,1755,E02002757,-0.672938349,53.59048425
21,1762,E02002758,-0.643852423,53.58246053
22,1764,E02002759,-0.483706978,53.55933206
23,1538,E02002760,-0.668545578,53.57617174
24,1539,E02002761,-0.549889793,53.56964042
25,1536,E02002762,-0.654170901,53.57071727
26,1537,E02002763,-0.632760526,53.56829284
27,1534,E02002764,-0.677206784,53.56711721
28,1535,E02002765,-0.656764844,53.563275
29,1532,E02002766,-0.638456636,53.55901437
30,1533,E02002767,-0.661238215,53.55333539
31,1542,E02002769,-0.648223163,53.52962226
32,1617,E02002770,-0.552530768,53.49482851
33,2388,E02002863,-0.644739541,52.71306196
34,2383,E02002866,-0.551768599,52.63308101
35,3276,E02002905,-2.798256418,52.31343781
36,3271,E02002906,-2.7475604,52.22933297
37,3273,E02002907,-2.741111945,52.22365737
38,3330,E02002908,-2.796715824,52.22550876
39,3290,E02002909,-2.512351495,52.18755482
40,2638,E02002910,-3.016485323,52.19317781
41,3115,E02002924,-2.961146223,52.02820888
42,6416,E02003079,-2.916282291,51.36816139
43,6636,E02003080,-2.924963345,51.35838881
44,6634,E02003081,-2.946306234,51.35546755
45,6632,E02003082,-2.976098847,51.353242
46,6629,E02003084,-2.969219746,51.34684957
47,6627,E02003085,-2.964412697,51.33469693
48,6625,E02003086,-2.975770305,51.33439963
49,6623,E02003087,-2.914320907,51.33055528
50,6789,E02003088,-2.815479349,51.32678429
51,6639,E02003089,-2.963579182,51.32236425
52,6725,E02003090,-2.515309178,51.6145028
53,6723,E02003091,-2.513623764,51.60528439
54,6721,E02003092,-2.412586783,51.60369751
55,5485,E02003460,-0.7788984,52.10378393
56,5992,E02003592,-1.526357681,50.68396619
57,5999,E02003598,-1.210809587,50.59781051
58,6047,E02003699,-0.89374692,51.65643599
59,3520,E02003732,0.302826569,52.45657889
60,3521,E02003733,0.128160723,52.39431739
61,3516,E02003736,0.180688229,52.35998683
62,907,E02003746,0.085296878,52.55897167
63,914,E02003748,0.096797355,52.54954737
64,3409,E02003750,0.080898958,52.5458455
65,3410,E02003751,0.083339556,52.50351474
66,3407,E02003752,0.048992973,52.45389752
67,3406,E02003755,-0.112109501,52.45139792
68,3412,E02003759,0.007960354,52.35200766
69,3740,E02003767,-0.372062087,52.31296003
70,420,E02003810,-2.792551563,53.04650369
71,6333,E02003898,-4.317275834,50.41147892
72,6231,E02003901,-4.513174392,50.37646245
73,6227,E02003903,-4.214294713,50.35495232
74,6221,E02003904,-4.458696689,50.35440075
75,6146,E02003931,-4.53539094,50.82901245
76,6144,E02003933,-4.725099049,50.64429879
77,6141,E02003934,-4.631481352,50.63658733
78,6142,E02003935,-4.359873987,50.63615656
79,6459,E02003950,-5.68066077,50.1210312
80,6455,E02003952,-5.047095507,50.41853687
81,6451,E02003954,-5.091440911,50.41188583
82,6453,E02003955,-5.070178349,50.40954806
83,6448,E02003956,-4.848683014,50.39827151
84,6449,E02003957,-4.764911653,50.3878557
85,6471,E02003958,-4.869739648,50.35342776
86,6473,E02003959,-4.718701599,50.35206061
87,6762,E02003960,-4.688819408,50.35446985
88,6763,E02003961,-4.766158865,50.34627585
89,6760,E02003962,-4.794565443,50.34229388
90,6761,E02003963,-4.77899298,50.33934148
91,6759,E02003964,-4.808618147,50.28450218
92,371,E02003976,-3.132690443,54.60048623
93,1124,E02003987,-2.960744678,55.00851654
94,1139,E02003988,-2.732211534,54.94397091
95,413,E02004007,-3.275025263,54.211318
96,429,E02004008,-2.606474627,54.74150841
97,548,E02004013,-2.5450827,54.58918313
98,545,E02004014,-2.37075832,54.48131362
99,546,E02004015,-2.961545274,54.42842219
100,1339,E02004023,-2.531477134,54.29996492
101,1331,E02004027,-2.93166733,54.18538262
102,2249,E02004065,-1.460167781,53.22553546
103,2261,E02004068,-1.701136153,53.30737706
104,2328,E02004074,-1.574496977,53.08124646
105,2329,E02004075,-1.691956755,53.04594551
106,2326,E02004076,-1.727429186,53.01171001
107,2327,E02004077,-1.738482391,52.94746917
108,2526,E02004112,-1.459945633,53.21307315
109,2527,E02004113,-1.381760961,53.18971614
110,2524,E02004114,-1.429390781,53.19162446
111,6164,E02004129,-3.150369647,50.84843951
112,6232,E02004130,-3.187371597,50.79881149
113,6233,E02004131,-3.197725967,50.79205581
114,6228,E02004132,-3.289784074,50.78748575
115,6230,E02004133,-2.992133493,50.78326454
116,6226,E02004135,-3.052987176,50.74228566
117,6220,E02004136,-3.2807557,50.74899278
118,6222,E02004137,-3.169475167,50.71328184
119,6236,E02004138,-3.07370002,50.71029778
120,6237,E02004139,-3.236348633,50.69819241
121,6463,E02004140,-3.24166102,50.68535509
122,6465,E02004141,-3.326594754,50.6875929
123,6460,E02004143,-3.389321554,50.63886619
124,6456,E02004145,-3.328385801,50.63455863
125,6450,E02004146,-3.392447688,50.6295686
126,6452,E02004147,-3.412310429,50.62152423
127,6474,E02004148,-3.394996906,50.62017596
128,6114,E02004164,-3.491405861,50.97194963
129,6115,E02004165,-3.477734053,50.91279187
130,6374,E02004172,-3.809274515,50.81800376
131,6372,E02004175,-4.117196569,51.20718766
132,6366,E02004176,-4.021197254,51.20054627
133,6368,E02004177,-4.126820121,51.20296786
134,6282,E02004187,-3.83865594,51.01743492
135,6611,E02004188,-3.764099133,50.95317455
136,6698,E02004190,-3.833428435,50.42541075
137,6695,E02004193,-3.922923947,50.38976693
138,6694,E02004194,-3.735014128,50.39620477
139,6693,E02004195,-3.589649889,50.35136254
140,6700,E02004198,-3.776098708,50.28469103
141,6699,E02004199,-3.688379406,50.27502004
142,6653,E02004200,-3.805870876,50.24606604
143,6651,E02004203,-3.736932205,50.64217785
144,6731,E02004217,-3.760601335,50.5105832
145,6191,E02004225,-4.13946505,50.9533393
146,6188,E02004226,-4.033077211,50.9025175
147,6259,E02004231,-3.876943542,50.68727609
148,6256,E02004232,-4.217129595,50.62907212
149,6257,E02004233,-4.145285459,50.54546096
150,6569,E02004257,-2.189056179,51.00802026
151,6584,E02004258,-2.318236693,50.94009493
152,6585,E02004259,-2.213291036,50.92186632
153,6340,E02004260,-2.134282087,50.86439485
154,6341,E02004261,-2.158736879,50.86185378
155,6338,E02004262,-2.280416479,50.82709393
156,6342,E02004268,-1.965992794,50.60952045
157,328,E02004346,-2.015307908,54.59054763
158,329,E02004347,-1.920304868,54.5458313
159,336,E02004348,-1.976455,54.73849104
160,5095,E02004357,0.273085848,50.80494742
161,5107,E02004359,0.272016111,50.79833163
162,5813,E02004361,0.252988649,50.78348702
163,5809,E02004362,0.295383768,50.77920416
164,5810,E02004363,0.276616491,50.77671565
165,5807,E02004364,0.263710502,50.77427909
166,5808,E02004365,0.29178339,50.77113927
167,5805,E02004366,0.281987677,50.7657951
168,5806,E02004367,0.268937948,50.76005348
169,5454,E02004382,0.05983601,50.89152753
170,5457,E02004389,0.099472731,50.78086233
171,5606,E02004390,0.12339188,50.77729293
