msoa11cd,geometry
E02002536,POINT (445582.3451904034 524175.4335269961)
E02002537,POINT (446777.150722023 524256.8409867092)
E02002534,POINT (461356.9291349978 515118.8999700634)
E02002535,POINT (446117.0267291812 525455.836150542)
E02002532,POINT (461053.2115661667 516175.3789409463)
E02002533,POINT (460440.1871294921 515186.0219633118)
E02002530,POINT (467898.5736824905 516468.6989864665)
E02002538,POINT (445936.5147806505 522571.0977034179)
E02002539,POINT (441758.1768334917 523673.4601758475)
E02005740,POINT (427328.4961646866 582645.4376051526)
E02005741,POINT (425331.023265276 582202.4288587802)
E02001736,POINT (422513.8465446021 564178.5794769427)
E02001737,POINT (428868.6391958984 563714.2890876047)
E02001734,POINT (421343.2625670152 564318.4670521347)
E02001735,POINT (428387.6626067769 564275.4998723232)
E02001732,POINT (420083.5847025913 564833.2669501328)
E02001733,POINT (427575.8286440829 564482.1032969255)
E02001730,POINT (425857.5773133865 564820.0014483167)
E02001731,POINT (424139.4718916877 564469.8092090476)
E02001738,POINT (434067.1459984441 573344.7567360926)
E02001739,POINT (426611.1122358904 573576.6419015415)
E02004354,POINT (418498.2587388139 527023.394109829)
E02004355,POINT (420426.887513127 528012.8807298602)
E02004352,POINT (422079.8846458255 529108.446035608)
E02004353,POINT (420442.0739004968 528902.2910449656)
E02004350,POINT (416826.0778750472 535570.8171303399)
E02004351,POINT (420330.7315212537 534521.4571644672)
E02002506,POINT (450127.5303852389 517681.5143451063)
E02002507,POINT (448735.0244689329 517182.9862745529)
E02002504,POINT (448472.5291169515 518210.2460982091)
E02002505,POINT (451802.2317378105 517691.1287686368)
E02002502,POINT (452963.3694412464 518334.8413007796)
E02002503,POINT (447700.0299910308 518214.6040616822)
E02002500,POINT (449201.3075066389 518621.5146610279)
E02002501,POINT (450196.1269081815 518638.0878053939)
E02002508,POINT (448105.4801431792 516518.3423025542)
E02002509,POINT (450863.5375258306 516442.1709264386)
E02001706,POINT (427016.454556342 556706.4759014851)
E02001787,POINT (433188.324545936 562215.801341505)
E02001707,POINT (427772.5189289079 554986.758109791)
E02001786,POINT (436669.8857748101 563027.5749139317)
E02001704,POINT (426510.5818884202 558842.6750001254)
E02001785,POINT (440494.8975833162 562788.6213569116)
E02001705,POINT (412502.7542027467 558338.3163804535)
E02001784,POINT (433056.7721815528 563316.2408274855)
E02001702,POINT (427564.536935096 559452.6049059206)
E02001783,POINT (435577.0057149318 563279.4814916926)
E02001703,POINT (416345.3052810532 558943.6459338354)
E02001782,POINT (431474.3997966099 563409.0798830914)
E02001700,POINT (422019.8564738111 560049.4426293692)
E02001781,POINT (434448.6211629118 563495.8733132143)
E02001701,POINT (425714.3814915037 559545.6207739819)
E02001780,POINT (438132.0548635879 564012.0384541824)
E02001708,POINT (421654.4979499049 569622.2438370204)
E02001789,POINT (437801.3068101095 561980.1034870226)
E02001709,POINT (424052.8999535906 569868.8397919206)
E02001788,POINT (434439.5722440812 561993.6694225516)
E02006842,POINT (425931.091042715 561871.4859148581)
E02006841,POINT (426029.554552776 562803.8530458631)
E02004326,POINT (439216.5438248954 540963.1201547213)
E02004327,POINT (444166.7293848856 541059.3747811174)
E02004324,POINT (442535.6218693429 543903.317812315)
E02004325,POINT (443075.3885116675 541561.0644648345)
E02004322,POINT (441092.9844937288 548810.7913058138)
E02004323,POINT (439001.4233495304 546667.8703673576)
E02004320,POINT (440807.7691816089 549687.6341058615)
E02004321,POINT (442616.0920648958 549047.2584744922)
E02004328,POINT (442010.522621181 541203.7603542028)
E02004329,POINT (442102.047822676 539719.5710633338)
E02002516,POINT (459919.1676619743 524110.7081225134)
E02002517,POINT (458876.646451091 523917.539006583)
E02002514,POINT (450851.0261926264 514261.092573446)
E02002515,POINT (460475.1820339823 524914.7506893051)
E02002512,POINT (452143.8829053877 514652.4862265429)
E02002513,POINT (449029.5243343408 514427.6120780724)
E02002510,POINT (448012.0723091742 515695.4091399482)
E02002518,POINT (461372.4039854673 523614.347662459)
E02002519,POINT (460050.8832857519 522854.5273865552)
E02005726,POINT (414394.6425135828 570542.8619830218)
