index,name,geometry,point_lon,point_lat
0,Reiver House,POINT (-2.957087904645628 54.89508354258598),-2.957087905,54.89508354
1,Lloyds Pharmacy,POINT (-1.556016545113865 52.41333181587327),-1.556016545,52.41333182
2,Wilson Hospital,POINT (-0.1632462049359184 51.39728812695243),-0.163246205,51.39728813
3,Elland Pharmacy,POINT (-1.836387696666447 53.68635065275826),-1.836387697,53.68635065
4,Pimhole Pharmacy,POINT (-2.28289361390883 53.59301831838778),-2.282893614,53.59301832
5,Health Visitors Office,POINT (-1.390811368465682 50.92596251803425),-1.390811368,50.92596252
6,Community Nurses Office,POINT (-2.311574024175333 51.23731485894489),-2.311574024,51.23731486
7,Drayton Community Pharmacy,POINT (-1.045931524749575 50.84647064531353),-1.045931525,50.84647065
8,The Beauchamp Centre,POINT (-4.114226080239698 50.37798058181524),-4.11422608,50.37798058
9,Ealing Urgent Care Centre,POINT (-0.3454954792679821 51.5076056555835),-0.345495479,51.50760566
10,District Nurses Office,POINT (-1.432464308192501 50.92423891867081),-1.432464308,50.92423892
11,District Nurses Office,POINT (-2.842911009560287 53.42096394266476),-2.84291101,53.42096394
12,Warrington Road Children's Centre,POINT (-2.71357154514815 53.37029240317721),-2.713571545,53.3702924
13,Health Visitors Office,POINT (-2.45596984579946 50.61336394763153),-2.455969846,50.61336395
14,Synergise Pharmacy,POINT (-1.315990363013056 54.56133823735966),-1.315990363,54.56133824
15,Verwood Pharmacy,POINT (-1.868776581285235 50.8702212073485),-1.868776581,50.87022121
16,Weldricks Pharmacy,POINT (-1.137180763830632 53.52040016410065),-1.137180764,53.52040016
17,Badham Pharmacy Ltd,POINT (-2.082312483689393 51.90600427294277),-2.082312484,51.90600427
18,Reading Community LD Team,POINT (-1.028483415369849 51.45153417111936),-1.028483415,51.45153417
19,Tesco in-store Pharmacy,POINT (-2.119139471670815 52.80202602908294),-2.119139472,52.80202603
20,Archway Pharmacy,POINT (-1.37353283289172 53.43016368543143),-1.373532833,53.43016369
21,Seaton & District Community Hospital,POINT (-3.071506064814017 50.71180339980317),-3.071506065,50.7118034
22,Bridge Lane Health Centre,POINT (-0.1663308282056778 51.47325184205781),-0.166330828,51.47325184
23,Radcliffe Day and Night Pharmacy,POINT (-1.039833952219621 52.94718587140967),-1.039833952,52.94718587
24,Sowerby Bridge Pharmacy,POINT (-1.911355578005185 53.70718297379923),-1.911355578,53.70718297
25,The Cheshire and Merseyside Treatment Centre,POINT (-2.695393158529761 53.32184207438625),-2.695393159,53.32184207
26,Fleetwood Hospital,POINT (-3.009078615379035 53.92675573956466),-3.009078615,53.92675574
27,Leek Pharmacy,POINT (-2.007593721785994 53.11460982190041),-2.007593722,53.11460982
28,Rosebank Pharmacy,POINT (-2.791758792119619 53.99341889306298),-2.791758792,53.99341889
29,All Day Health Centre,POINT (-3.096821016512596 53.36961989487333),-3.096821017,53.36961989
30,Rosebird Centre Pharmacy,POINT (-1.698512141458223 52.17929647163525),-1.698512141,52.17929647
31,Avicenna Pharmacy,POINT (-1.908934105573298 50.74888801385006),-1.908934106,50.74888801
32,Eastham Clinic,POINT (-2.96627089052327 53.31189194405037),-2.966270891,53.31189194
33,Wychwood Pharmacy,POINT (-1.59679629166747 51.86317609323195),-1.596796292,51.86317609
34,Day Lewis Pharmacy,POINT (-0.03241319820189888 53.55981750010524),-0.032413198,53.5598175
35,Coleman Health Centre,POINT (-1.445502201137662 52.89488967469738),-1.445502201,52.89488967
36,Anglia Community Eye Service,POINT (0.141950598422985 52.64834219374091),0.141950598,52.64834219
37,Medicure Pharmacy,POINT (-1.178244584917658 52.61013674796899),-1.178244585,52.61013675
38,The Romford Road Centre,POINT (0.006913206397265043 51.54251778407556),0.006913206,51.54251778
39,District Nurses and Health Visitors,POINT (0.1587658252280545 51.46125056349841),0.158765825,51.46125056
40,Bluedew Pharmacy,POINT (-0.03614624521976892 51.5874629420189),-0.036146245,51.58746294
41,Lloyds Pharmacy,POINT (-1.959081010695857 52.35164737463217),-1.959081011,52.35164737
42,Yapton Pharmacy,POINT (-0.6132450843293162 50.82208624246915),-0.613245084,50.82208624
43,Fountain Pharmacy,POINT (-0.3846634691479099 51.50225267963071),-0.384663469,51.50225268
44,District Nurses,POINT (-1.530582422556618 53.58585415351288),-1.530582423,53.58585415
45,Hillside Centre,POINT (-2.723711396627626 52.04260194354524),-2.723711397,52.04260194
46,Community Nurses Office,POINT (-0.1732520468514206 51.52093915065122),-0.173252047,51.52093915
47,Queens Medical Centre,POINT (-4.057195962062885 51.08016070216931),-4.057195962,51.0801607
48,Tanner Street Pharmacy,POINT (0.7489150527084675 52.41279341874507),0.748915053,52.41279342
49,Well Pharmacy,POINT (-1.968679381185492 52.63020542199666),-1.968679381,52.63020542
50,Jhoots Pharmacy,POINT (-0.360902092569544 53.73557016060101),-0.360902093,53.73557016
51,Boots,POINT (0.4067010775248723 52.74736436135757),0.406701078,52.74736436
52,Community Nurses Office,POINT (-0.4779379117970391 53.26356123644042),-0.477937912,53.26356124
53,Community Nurses Office,POINT (0.01688795115193149 52.80505765961981),0.016887951,52.80505766
54,Medipharma Chemist,POINT (-1.939555450188235 52.43862894316365),-1.93955545,52.43862894
55,Community Health Services,POINT (-0.2000311238273318 51.41930625624056),-0.200031124,51.41930626
56,Oxenhope Pharmacy,POINT (-1.951335171945208 53.81168247149314),-1.951335172,53.81168247
57,Peak Pharmacy,POINT (-1.412948328980044 53.16814485789639),-1.412948329,53.16814486
58,St Bede's Unit,POINT (-1.58267942496691 54.93691532469474),-1.582679425,54.93691532
59,Pitman Pharmacy,POINT (-1.965784682887299 52.41850169839941),-1.965784683,52.4185017
60,Keir Hardie Pharmacy,POINT (-3.389572717821493 51.74637218450646),-3.389572718,51.74637218
61,Continence Office,POINT (-0.1665952283441177 51.17295239208747),-0.166595228,51.17295239
62,Gate House Pharmacy,POINT (-1.508911184293586 53.58667504327288),-1.508911184,53.58667504
63,Westerhope Medical Group,POINT (-1.691706286331409 54.9789995992972),-1.691706286,54.9789996
64,Community Nurses Office,POINT (-1.609010724710541 54.99637511884957),-1.609010725,54.99637512
65,The Grove Medical Group,POINT (-1.619084654605809 55.00217620841913),-1.619084655,55.00217621
66,The Park Medical Group,POINT (-1.668444245866272 55.01287040385534),-1.668444246,55.0128704
67,The Arthur Medical Centre,POINT (-1.42434159052164 53.00252032374923),-1.424341591,53.00252032
