index,objectid,msoa11cd,geometry,MSOA,MSOA_with_supply
1,311,E02002527,POINT (471554.0053845677 518513.6276244508),FALSE,FALSE
2,1636,E02002692,POINT (472211.2624633875 454307.9614204131),FALSE,FALSE
3,1634,E02002693,POINT (513578.580409606 451282.210326312),FALSE,FALSE
4,1632,E02002694,POINT (480317.8861454555 449070.5001205452),FALSE,FALSE
5,1631,E02002695,POINT (520376.5089857472 447521.7869911033),FALSE,FALSE
6,1630,E02002696,POINT (500166.1385786547 443909.3973346965),FALSE,FALSE
7,1639,E02002698,POINT (487856.8450589861 441575.389573933),FALSE,FALSE
8,1996,E02002701,POINT (478687.6262322523 439198.7175802711),FALSE,FALSE
9,1984,E02002707,POINT (492069.7475084657 431315.7495536279),FALSE,FALSE
10,2000,E02002709,POINT (484806.1643813582 429905.4169045958),FALSE,FALSE
11,2088,E02002714,POINT (526621.6937914555 427126.7500992265),FALSE,FALSE
12,1861,E02002720,POINT (475031.9820377714 425846.5253711627),FALSE,FALSE
13,1862,E02002721,POINT (476591.581641008 425722.8977607909),FALSE,FALSE
14,1859,E02002722,POINT (534262.9872712574 427120.4644787901),FALSE,FALSE
15,1860,E02002723,POINT (473940.6129918384 423970.1507323899),FALSE,FALSE
16,1857,E02002724,POINT (474783.8103732825 423927.5618958995),FALSE,FALSE
17,1759,E02002753,POINT (486997.9257722194 412703.0991240087),FALSE,FALSE
18,1757,E02002755,POINT (489094.8015428515 412067.4397254797),FALSE,FALSE
19,1754,E02002756,POINT (488875.5709870828 411583.8031065678),FALSE,FALSE
20,1755,E02002757,POINT (487937.5630601763 411252.2165814164),FALSE,FALSE
21,1762,E02002758,POINT (489879.6990731405 410395.8805603386),FALSE,FALSE
22,1764,E02002759,POINT (500536.0462034693 408036.8239119885),FALSE,FALSE
23,1538,E02002760,POINT (488258.085868973 409665.4187335009),FALSE,FALSE
24,1539,E02002761,POINT (496129.0558997779 409092.2858438169),FALSE,FALSE
25,1536,E02002762,POINT (489221.3042939118 409076.518934904),FALSE,FALSE
26,1537,E02002763,POINT (490644.2473328478 408833.8174826495),FALSE,FALSE
27,1534,E02002764,POINT (487703.3357095268 408647.4415621425),FALSE,FALSE
28,1535,E02002765,POINT (489065.1527756716 408245.3474241741),FALSE,FALSE
29,1532,E02002766,POINT (490286.7712045707 407794.3934140514),FALSE,FALSE
30,1533,E02002767,POINT (488789.6641184227 407134.0214841996),FALSE,FALSE
31,1542,E02002769,POINT (489701.9138722618 404512.3112388748),FALSE,FALSE
32,1617,E02002770,POINT (496123.2579730888 400766.3028066368),FALSE,FALSE
33,2388,E02002863,POINT (491651.4204364182 313683.6323020219),FALSE,FALSE
34,2383,E02002866,POINT (498110.5220790401 304909.6361674641),FALSE,FALSE
35,3276,E02002905,POINT (345678.6176377631 268670.0789116712),FALSE,FALSE
36,3271,E02002906,POINT (349038.014268899 259278.2817827857),FALSE,FALSE
37,3273,E02002907,POINT (349471.985131862 258642.4699011627),FALSE,FALSE
38,3330,E02002908,POINT (345676.0389059962 258888.7014373),FALSE,FALSE
39,3290,E02002909,POINT (365069.9632836788 254491.6568658256),FALSE,FALSE
40,2638,E02002910,POINT (330614.2656666532 255480.4837544667),FALSE,FALSE
41,3115,E02002924,POINT (334153.9186098548 237080.3191638611),FALSE,FALSE
42,6416,E02003079,POINT (336310.2996367615 163631.9900020977),FALSE,FALSE
43,6636,E02003080,POINT (335692.2764393617 162552.7618771431),FALSE,FALSE
44,6634,E02003081,POINT (334202.0288143372 162246.8471906472),FALSE,FALSE
45,6632,E02003082,POINT (332124.2162239106 162026.5348732393),FALSE,FALSE
