,Distance in meter,origin_id,destination_id
0,17438.2,E02002527,124
1,15669.6,E02002527,4155
2,608.3,E02002527,4159
3,16577,E02002527,4162
4,11904.9,E02002527,4609
5,14355.9,E02002527,5050
6,17197.2,E02002527,5052
7,989.8,E02002527,5056
8,7505.8,E02002527,5064
9,14345.9,E02002527,5491
10,4017.6,E02002527,5499
11,20642.1,E02002527,7938
12,12203.4,E02002527,8189
13,13824.7,E02002527,8514
14,3970.3,E02002527,8976
15,7597.6,E02002527,9915
16,14680,E02002527,10096
17,8233.4,E02002527,10137
18,17832.8,E02002527,10749
19,9178.3,E02002527,10850
20,3970.3,E02002527,11009
21,18539.2,E02002527,11015
22,8233.4,E02002527,11137
23,7152.9,E02002527,11176
24,14368.8,E02002527,11438
25,16121.3,E02002527,11444
26,17145.2,E02002527,11851
27,12884,E02002527,12098
28,17659.3,E02002527,12205
29,14984.5,E02002527,12438
30,15823.3,E02002527,12751
31,9532.3,E02002527,12816
32,20382.7,E02002527,12992
33,17750.8,E02002527,13130
34,13605.4,E02002527,13921
35,17704.7,E02002527,15549
36,7656.7,E02002527,17798
37,14292.3,E02002527,18050
38,14918.9,E02002527,20888
39,7685,E02002527,21453
40,15380,E02002692,357
41,16556.1,E02002692,382
42,11440.3,E02002692,2404
43,13027,E02002692,2415
44,16337.8,E02002692,2651
45,15302.7,E02002692,3456
46,17735.1,E02002692,3629
47,27140.7,E02002692,3630
48,15530.5,E02002692,3632
49,17192.4,E02002692,3636
50,15547,E02002692,3637
51,19465.4,E02002692,3639
52,14341.2,E02002692,3641
53,16517,E02002692,3644
54,24323.3,E02002692,3646
55,16435.5,E02002692,3648
56,23806.1,E02002692,3660
57,22545.5,E02002692,3680
58,23191.3,E02002692,3682
59,16409,E02002692,4300
60,3120.5,E02002692,4543
61,28710.4,E02002692,5695
62,17171.3,E02002692,6502
63,19805.3,E02002692,7628
64,13947.2,E02002692,7650
65,15098.1,E02002692,7651
66,23179.6,E02002692,7791
67,16327,E02002692,8056
68,19696.2,E02002692,8221
69,18729.8,E02002692,8626
70,21796.8,E02002692,8632
71,19381.9,E02002692,8635
72,17398,E02002692,8784
73,19794.9,E02002692,9096
74,17115.3,E02002692,9247
75,19126.9,E02002692,9571
76,16317.6,E02002692,9994
77,16918.9,E02002692,10444
78,15420.9,E02002692,10536
79,15250.9,E02002692,10553
80,18975.9,E02002692,10623
81,15825.4,E02002692,11304
82,26733.6,E02002692,11641
83,16491.8,E02002692,11750
84,17708,E02002692,11807
85,17695.7,E02002692,11854
86,21710.2,E02002692,11932
87,12286.9,E02002692,12161
88,17012.2,E02002692,12163
89,16679.3,E02002692,12268
90,17590.8,E02002692,12633
91,21845.1,E02002692,13143
92,23179.6,E02002692,13241
93,16967.7,E02002692,13467
94,26952,E02002692,13797
95,16422.4,E02002692,13833
96,18975.9,E02002692,14136
97,13861.1,E02002692,14166
98,20182.5,E02002692,14683
99,15007.4,E02002692,14731
100,12908.2,E02002692,14732
101,17398,E02002692,14884
102,16124.6,E02002692,14999
103,17138.6,E02002692,15249
104,9552.9,E02002692,15288
105,17398,E02002692,16177
106,17238.4,E02002692,16409
107,15794.4,E02002692,16940
108,15528.5,E02002692,17073
109,26840.5,E02002692,17271
110,11051.5,E02002692,17478
111,19437,E02002692,17554
112,17633.5,E02002692,17627
113,18156.4,E02002692,17648
114,14353.9,E02002692,17932
115,17191.4,E02002692,19225
116,17409,E02002692,20056
117,16493.7,E02002692,20528
118,17223.3,E02002692,20967
119,27275.7,E02002692,21040
120,17171.3,E02002692,21062
121,15947.5,E02002692,21176
122,19824,E02002692,21405
123,16959.5,E02002693,393
124,17844.5,E02002693,813
125,17537.3,E02002693,815
126,8184.5,E02002693,932
127,14749.4,E02002693,934
128,17911.7,E02002693,935
129,19537.6,E02002693,936
130,14829.8,E02002693,940
131,17682,E02002693,1080
132,18509.8,E02002693,2128
133,19779.6,E02002693,4767
134,15008.1,E02002693,6592
135,20753.8,E02002693,7807
136,18308.9,E02002693,10654
137,18224.6,E02002693,11282
138,14988.4,E02002693,13394
139,16088.6,E02002693,13931
140,19461.4,E02002693,15037
141,14637.2,E02002693,15704
142,18519.1,E02002693,17206
143,17462.6,E02002693,17270
144,18343.5,E02002693,17854
145,20744.4,E02002693,18200
146,18133,E02002693,18651
147,18250.9,E02002693,19209
148,17831.6,E02002693,19222
149,18357.8,E02002693,19251
150,17961.9,E02002693,19791
151,17617.7,E02002693,21149
152,15715.3,E02002694,930
153,11425.9,E02002694,2402
154,213.7,E02002694,2404
155,12972.2,E02002694,4543
156,15720.5,E02002694,10700
157,13711.8,E02002694,12161
158,1090,E02002694,14166
159,11518,E02002694,14614
160,11518,E02002694,14636
161,15993,E02002694,15288
162,382.6,E02002694,17478
163,21688,E02002695,808
164,10441.8,E02002695,932
165,366.6,E02002695,934
166,447,E02002695,940
167,1089.5,E02002695,6592
168,23011.1,E02002695,7807
169,21389.1,E02002695,8767
170,21811.5,E02002695,11982
171,1029.6,E02002695,13394
172,254.4,E02002695,15704
173,23001.7,E02002695,18200
174,21232.9,E02002696,354
175,7700.7,E02002696,393
176,22928.2,E02002696,794
177,17122.9,E02002696,796
178,22315,E02002696,802
179,17257.1,E02002696,803
180,8585.6,E02002696,813
181,17244.1,E02002696,814
182,15878.8,E02002696,815
183,20691.1,E02002696,819
184,18200.5,E02002696,821
185,21111.2,E02002696,928
186,16319.8,E02002696,932
187,16047.6,E02002696,935
188,8659.3,E02002696,936
189,22058.8,E02002696,939
190,20537.4,E02002696,941
191,21247.8,E02002696,961
192,20818.2,E02002696,962
193,11920.4,E02002696,1070
194,17240,E02002696,1079
195,15791.2,E02002696,1080
196,21861.4,E02002696,1081
197,22233.8,E02002696,1083
198,16481.8,E02002696,1948
199,18725.1,E02002696,2124
200,7631.5,E02002696,2128
201,21036.6,E02002696,2275
202,21467.2,E02002696,2387
203,21627.9,E02002696,2395
204,19914.8,E02002696,2400
205,17561.1,E02002696,2402
206,5764.1,E02002696,4767
207,18154.5,E02002696,4768
208,21039.4,E02002696,5617
209,17997.8,E02002696,6200
210,19390.2,E02002696,7369
211,19179.8,E02002696,7806
212,20591.1,E02002696,7807
213,21627.9,E02002696,7808
214,22457.1,E02002696,8158
215,20327.2,E02002696,9898
216,17336.6,E02002696,10654
217,7229.7,E02002696,11282
218,17966.4,E02002696,11374
219,18252.2,E02002696,12030
220,21532.9,E02002696,12403
221,22176.9,E02002696,12555
222,20670.9,E02002696,13606
223,18288,E02002696,14614
224,18288,E02002696,14636
225,18819,E02002696,14898
226,21474,E02002696,15357
227,17318.9,E02002696,15384
228,21354.4,E02002696,15485
229,16482.1,E02002696,15575
230,17050.8,E02002696,15584
231,16482.1,E02002696,16445
232,19666.1,E02002696,16805
233,7640.8,E02002696,17206
234,8203.7,E02002696,17270
235,16718.5,E02002696,17715
236,6176.7,E02002696,17854
237,20581.6,E02002696,18200
238,15827.9,E02002696,18651
239,16481.8,E02002696,18693
240,18684.8,E02002696,18746
241,21635.9,E02002696,19204
242,7256,E02002696,19209
243,15909.5,E02002696,19222
244,18256.3,E02002696,19223
245,7289.7,E02002696,19251
246,21015.2,E02002696,19379
247,20393.6,E02002696,19394
248,21473.6,E02002696,19412
249,8703,E02002696,19791
250,22807.7,E02002696,20055
251,17811.9,E02002696,20326
252,21487.2,E02002696,20499
253,19234.9,E02002696,20859
254,18557.5,E02002696,20903
255,20764.5,E02002696,20942
256,16996,E02002696,21047
257,15726.8,E02002696,21149
258,21249.3,E02002696,21713
259,17231.4,E02002698,351
260,18961.8,E02002698,804
261,9598.3,E02002698,930
262,18184.5,E02002698,936
263,18614.8,E02002698,1070
264,12015.6,E02002698,1081
265,17156.7,E02002698,2128
266,552.3,E02002698,2402
267,11893.6,E02002698,2404
268,18414.9,E02002698,4767
269,9603.5,E02002698,10700
270,18832,E02002698,10785
271,16805.4,E02002698,11282
272,16498.8,E02002698,14087
273,11709.2,E02002698,14166
274,1476.1,E02002698,14614
275,1476.1,E02002698,14636
276,17165.9,E02002698,17206
277,11872.3,E02002698,17478
278,18827.4,E02002698,17854
279,17190.1,E02002698,18909
280,16831.7,E02002698,19209
281,16938.6,E02002698,19251
282,18440.5,E02002701,804
283,21056.3,E02002701,812
284,20981,E02002701,816
285,2681,E02002701,930
286,20625.1,E02002701,1059
287,20365.2,E02002701,1078
288,24305.5,E02002701,1081
289,15665.5,E02002701,2278
290,15038.2,E02002701,2389
291,11725.1,E02002701,2402
292,18141.9,E02002701,2404
293,20578.9,E02002701,6712
294,20401.4,E02002701,9132
295,20618.8,E02002701,10178
296,2675.9,E02002701,10700
297,18570.3,E02002701,10785
298,20401.4,E02002701,11475
299,20206.4,E02002701,12057
300,24278,E02002701,12161
301,17957.5,E02002701,14166
302,11817.2,E02002701,14614
303,11817.2,E02002701,14636
304,20365.2,E02002701,16149
305,18120.6,E02002701,17478
306,20532.5,E02002701,18427
307,20401.4,E02002701,18573
308,5602.3,E02002707,351
309,18950.4,E02002707,393
310,11810.4,E02002707,794
311,22095.6,E02002707,796
312,23038.9,E02002707,802
313,22083.4,E02002707,803
314,11349.1,E02002707,804
315,7527.8,E02002707,810
316,18336.9,E02002707,813
317,22197.4,E02002707,814
318,14306.5,E02002707,817
319,22374,E02002707,928
320,21873.4,E02002707,930
321,17163.7,E02002707,936
322,18013.5,E02002707,939
323,18517,E02002707,961
324,18087.4,E02002707,962
325,18235.1,E02002707,1070
326,25718,E02002707,1079
327,368,E02002707,1081
328,19446.5,E02002707,1083
329,17949.8,E02002707,1085
330,19883.8,E02002707,1948
331,19203.5,E02002707,2124
332,19543.3,E02002707,2126
333,9849.6,E02002707,2127
334,17456.8,E02002707,2128
335,22671.4,E02002707,2275
336,22057.7,E02002707,2387
337,24346.9,E02002707,2400
338,12398.4,E02002707,2402
339,31001.7,E02002707,4149
340,18553.6,E02002707,4767
341,26632.6,E02002707,4768
342,20416.4,E02002707,4769
343,18726.1,E02002707,4853
344,15945.9,E02002707,5617
345,14436.7,E02002707,6616
346,16332.4,E02002707,7372
347,18446.3,E02002707,7529
348,20218.2,E02002707,8157
349,22896.9,E02002707,8158
350,23689.2,E02002707,9898
351,20365.6,E02002707,9957
352,20326,E02002707,10157
353,20323.6,E02002707,10495
354,31001.7,E02002707,10504
355,21878.6,E02002707,10700
356,11219.3,E02002707,10785
357,19014.1,E02002707,11126
358,17105.5,E02002707,11282
359,18655.6,E02002707,11343
360,26730.3,E02002707,12030
361,16002.3,E02002707,13495
362,19358.4,E02002707,13872
363,14416.4,E02002707,13961
364,4869.7,E02002707,14087
365,13322.2,E02002707,14614
366,13322.2,E02002707,14636
367,14971.1,E02002707,15357
368,21830.8,E02002707,15384
369,19884.2,E02002707,15575
370,19615.8,E02002707,15584
371,19884.2,E02002707,16445
372,18203.9,E02002707,16805
373,17466,E02002707,17206
374,18446.2,E02002707,17270
375,19283.5,E02002707,17715
376,16062,E02002707,17837
377,20611,E02002707,17854
378,14546.8,E02002707,18286
379,13149.1,E02002707,18319
380,14108.5,E02002707,18367
381,19883.8,E02002707,18693
382,14420.8,E02002707,18695
383,19163.3,E02002707,18746
384,5561,E02002707,18909
385,9495.1,E02002707,18987
386,22803.3,E02002707,19204
387,17131.7,E02002707,19209
388,26734.4,E02002707,19223
389,17238.7,E02002707,19251
390,22650,E02002707,19379
391,16093,E02002707,19394
392,16126.8,E02002707,19412
393,18728.7,E02002707,19791
394,20020.4,E02002707,20055
395,18146.9,E02002707,20326
396,15151.3,E02002707,20499
397,19035.9,E02002707,20903
398,15738.9,E02002707,20942
