index,Distance in meter,origin_id,destination_id
1,15669.6,E02002527,4155
2,608.3,E02002527,4159
3,11904.9,E02002527,4609
4,14355.9,E02002527,5050
5,989.8,E02002527,5056
6,7505.8,E02002527,5064
7,14345.9,E02002527,5491
8,4017.6,E02002527,5499
9,12203.4,E02002527,8189
10,13824.7,E02002527,8514
11,3970.3,E02002527,8976
12,7597.6,E02002527,9915
13,14680,E02002527,10096
14,8233.4,E02002527,10137
15,9178.3,E02002527,10850
16,3970.3,E02002527,11009
17,8233.4,E02002527,11137
18,7152.9,E02002527,11176
19,14368.8,E02002527,11438
20,12884,E02002527,12098
21,14984.5,E02002527,12438
22,15823.3,E02002527,12751
23,9532.3,E02002527,12816
24,13605.4,E02002527,13921
25,7656.7,E02002527,17798
26,14292.3,E02002527,18050
27,14918.9,E02002527,20888
28,7685,E02002527,21453
29,15380,E02002692,357
30,11440.3,E02002692,2404
31,13027,E02002692,2415
32,15302.7,E02002692,3456
33,15530.5,E02002692,3632
34,15547,E02002692,3637
35,14341.2,E02002692,3641
36,3120.5,E02002692,4543
37,13947.2,E02002692,7650
38,15098.1,E02002692,7651
39,15420.9,E02002692,10536
40,15250.9,E02002692,10553
41,15825.4,E02002692,11304
42,12286.9,E02002692,12161
43,13861.1,E02002692,14166
44,15007.4,E02002692,14731
45,12908.2,E02002692,14732
46,9552.9,E02002692,15288
47,15794.4,E02002692,16940
48,15528.5,E02002692,17073
49,11051.5,E02002692,17478
50,14353.9,E02002692,17932
51,15947.5,E02002692,21176
52,8184.5,E02002693,932
53,14749.4,E02002693,934
54,14829.8,E02002693,940
55,15008.1,E02002693,6592
56,14988.4,E02002693,13394
57,16088.6,E02002693,13931
58,14637.2,E02002693,15704
59,15715.3,E02002694,930
60,11425.9,E02002694,2402
61,213.7,E02002694,2404
62,12972.2,E02002694,4543
63,15720.5,E02002694,10700
64,13711.8,E02002694,12161
65,1090,E02002694,14166
66,11518,E02002694,14614
67,11518,E02002694,14636
68,15993,E02002694,15288
69,382.6,E02002694,17478
70,10441.8,E02002695,932
71,366.6,E02002695,934
72,447,E02002695,940
73,1089.5,E02002695,6592
74,1029.6,E02002695,13394
75,254.4,E02002695,15704
76,7700.7,E02002696,393
77,8585.6,E02002696,813
78,15878.8,E02002696,815
79,16047.6,E02002696,935
80,8659.3,E02002696,936
81,11920.4,E02002696,1070
82,15791.2,E02002696,1080
83,7631.5,E02002696,2128
84,5764.1,E02002696,4767
85,7229.7,E02002696,11282
86,7640.8,E02002696,17206
87,8203.7,E02002696,17270
88,6176.7,E02002696,17854
89,15827.9,E02002696,18651
90,7256,E02002696,19209
91,15909.5,E02002696,19222
92,7289.7,E02002696,19251
93,8703,E02002696,19791
94,15726.8,E02002696,21149
95,9598.3,E02002698,930
96,12015.6,E02002698,1081
97,552.3,E02002698,2402
98,11893.6,E02002698,2404
99,9603.5,E02002698,10700
100,11709.2,E02002698,14166
101,1476.1,E02002698,14614
102,1476.1,E02002698,14636
103,11872.3,E02002698,17478
104,2681,E02002701,930
105,15665.5,E02002701,2278
106,15038.2,E02002701,2389
107,11725.1,E02002701,2402
108,2675.9,E02002701,10700
109,11817.2,E02002701,14614
110,11817.2,E02002701,14636
111,5602.3,E02002707,351
112,11810.4,E02002707,794
113,11349.1,E02002707,804
114,7527.8,E02002707,810
115,14306.5,E02002707,817
116,368,E02002707,1081
117,9849.6,E02002707,2127
118,12398.4,E02002707,2402
119,15945.9,E02002707,5617
120,14436.7,E02002707,6616
121,11219.3,E02002707,10785
122,16002.3,E02002707,13495
123,14416.4,E02002707,13961
124,4869.7,E02002707,14087
125,13322.2,E02002707,14614
126,13322.2,E02002707,14636
127,14971.1,E02002707,15357
128,16062,E02002707,17837
129,14546.8,E02002707,18286
130,13149.1,E02002707,18319
131,14108.5,E02002707,18367
132,14420.8,E02002707,18695
133,5561,E02002707,18909
134,9495.1,E02002707,18987
135,16093,E02002707,19394
136,15151.3,E02002707,20499
137,15738.9,E02002707,20942
138,6214.1,E02002707,21383
139,14959.1,E02002707,21562
140,14180.5,E02002707,21762
141,14609.3,E02002709,351
142,1715.4,E02002709,804
143,14551.3,E02002709,810
144,9055.6,E02002709,1081
145,11395.6,E02002709,2278
146,10768.3,E02002709,2389
147,1585.6,E02002709,10785
148,15936.5,E02002709,12057
149,11931.2,E02002709,14087
150,12622.5,E02002709,18909
151,15221.1,E02002709,21383
152,10280.3,E02002714,795
153,8674,E02002714,798
154,9305.3,E02002714,929
155,8573.9,E02002714,2396
156,10974.9,E02002714,2398
157,11104,E02002714,10614
158,11782.2,E02002714,10728
159,8914.6,E02002714,11686
160,11784,E02002714,19671
161,14326.2,E02002720,804
162,5014.7,E02002720,812
163,4422.6,E02002720,816
164,5347.2,E02002720,1058
165,4487,E02002720,1059
166,4227.1,E02002720,1078
167,4592.7,E02002720,2278
168,5386.1,E02002720,2389
169,4440.8,E02002720,6712
170,4263.3,E02002720,9132
171,15078.4,E02002720,9877
172,4480.8,E02002720,10178
173,15076.8,E02002720,10655
174,14456,E02002720,10785
175,4263.3,E02002720,11475
176,4068.3,E02002720,12057
177,4227.1,E02002720,16149
178,4394.4,E02002720,18427
179,4263.3,E02002720,18573
180,4103.8,E02002720,19535
181,9716.8,E02002721,804
182,8885.1,E02002721,812
183,8809.8,E02002721,816
184,15619.6,E02002721,930
185,9582.6,E02002721,1058
186,8453.9,E02002721,1059
187,8194.1,E02002721,1078
188,3494.4,E02002721,2278
189,3425.1,E02002721,2389
190,8407.7,E02002721,6712
191,8230.3,E02002721,9132
192,8447.7,E02002721,10178
193,15624.8,E02002721,10700
194,9846.6,E02002721,10785
195,8230.3,E02002721,11475
196,8035.3,E02002721,12057
197,8194.1,E02002721,16149
198,8361.3,E02002721,18427
199,8230.3,E02002721,18573
200,9277.1,E02002721,19535
201,1018.4,E02002722,798
202,7055.2,E02002722,929
203,1118.6,E02002722,2396
204,942.7,E02002722,11686
205,14807.1,E02002723,804
206,888.2,E02002723,812
207,812.9,E02002723,816
208,1585.7,E02002723,1058
209,457,E02002723,1059
210,1262.2,E02002723,1078
211,5073.6,E02002723,2278
212,5867,E02002723,2389
213,15779.3,E02002723,3567
214,410.8,E02002723,6712
215,1298.4,E02002723,9132
216,11678.1,E02002723,9877
217,450.8,E02002723,10178
218,15133.8,E02002723,10402
219,15061.1,E02002723,10460
220,11676.4,E02002723,10655
221,14936.9,E02002723,10785
222,15129.7,E02002723,11119
223,1298.4,E02002723,11475
224,522,E02002723,12057
225,15784.9,E02002723,15868
226,1262.2,E02002723,16149
227,1429.5,E02002723,18427
228,1298.4,E02002723,18573
229,1280.2,E02002723,19535
230,15808.8,E02002724,804
231,1053.9,E02002724,812
232,461.8,E02002724,816
233,1593.7,E02002724,1058
234,679.2,E02002724,1059
235,2117.3,E02002724,1078
236,6075.3,E02002724,2278
237,6868.7,E02002724,2389
238,723.4,E02002724,6712
239,2153.6,E02002724,9132
240,12679.7,E02002724,9877
241,890,E02002724,10178
242,16062.8,E02002724,10460
243,12678.1,E02002724,10655
244,15938.6,E02002724,10785
245,2153.6,E02002724,11475
246,1626.3,E02002724,12057
247,2117.3,E02002724,16149
248,2284.6,E02002724,18427
249,2153.6,E02002724,18573
250,599.3,E02002724,19535
