index,name,point_lon,point_lat
22,Seaton & District Community Hospital,-3.071506065,50.7118034
24,Radcliffe Day and Night Pharmacy,-1.039833952,52.94718587
28,Leek Pharmacy,-2.007593722,53.11460982
31,Rosebird Centre Pharmacy,-1.698512141,52.17929647
37,Anglia Community Eye Service,0.141950598,52.64834219
54,Community Nurses Office,0.016887951,52.80505766
58,Peak Pharmacy,-1.412948329,53.16814486
64,Westerhope Medical Group,-1.691706286,54.9789996
76,The Riverside Pharmacy,-0.406506879,52.99778445
79,Hado Pharmacy,1.109723681,52.37826093
94,Lloyds Pharmacy,-2.037103739,53.11182392
100,Lansdales Pharmacy,-0.761569484,51.63304679
102,Whitemoor Medical Centre,-1.454757254,53.03148044
105,Clay Cross Medical Centre,-1.412199755,53.16808184
109,Lemington Walk-in Centre,-1.712424456,54.97673185
155,Lloyds Pharmacy,-2.617624746,51.51030265
156,Simpill Ltd,-1.605634683,55.09469708
159,Morrab Pharmacy,-5.539016454,50.11707338
168,Community Nurses Office,-2.744191228,52.2261574
183,Well Pharmacy,-3.566983107,50.43329452
184,Farah Chemist Ltd,-1.673784393,54.9733365
188,Wellesbourne Pharmacy,-1.590020069,52.19525853
191,Staplegrove Pharmacy,-3.129393139,51.02575286
209,Worksop Pharmacy,-1.124541622,53.30199899
231,Peak Pharmacy,-1.370783752,53.25609016
251,Community Nursing Office,-2.904362628,54.37475889
254,Hythe Hospital,-1.4034593,50.85856243
260,Longton Health Centre,-2.135393378,52.99206543
262,Learning Disabilities Community Nurses,-2.122167799,52.97804136
281,West Mersea Clinic,0.913971701,51.77849087
283,Greenstead Clinic,0.936247047,51.89164403
293,Oak Tree Lane Health Centre,-1.154515562,53.13410354
294,Devon Health Visiting Service,-3.406718373,50.62646359
296,Ashford Unit,-1.525414504,50.9316127
297,Staffa Health Centre,-1.338696678,53.145792
312,Grange Community Clinic,-2.910168156,54.19373227
324,St Just Health Centre,-5.682077357,50.12414672
338,Evans Pharmacy,-0.809318554,53.07747344
345,Kineton Pharmacy,-1.511387173,52.15678743
346,Morrisons Pharmacy,-1.566484661,55.03645343
349,Community Nurses,-2.48660267,52.90948702
350,District Nurses Office,-0.654175315,53.56596645
351,Brough Primary Care Contact Centre,-0.572861391,53.72954985
353,St Ann's Hospital,-1.92811706,50.69914495
357,Huntington House,-1.051137425,53.98666216
366,Saffron Walden Community Hospital,0.258811699,52.02411689
369,Community Services,-0.646220596,53.56824081
370,District Nurse Office,-0.315029915,53.49427745
373,Crabtree Pharmacy,-1.834381632,52.1719691
381,Swindon Community Health Service,-1.806362609,51.59769318
386,Northgate Hospital,1.730506172,52.61719805
393,Integrated Community Services,-0.413171363,53.8527738
399,Thame Community Hospital,-0.969657113,51.74482503
401,West Locality Health Visiting Team,-4.16712616,50.39279164
458,Fernwood Mental Health Resource Centre,-4.212932258,51.01502727
471,Boots,0.241745199,52.02376405
487,Boots,0.550001313,51.87894349
488,Boots,0.900814631,51.88852124
493,Boots,-2.135366794,52.98833495
494,Shepway Community Mental Health Services,1.169168661,51.08602459
496,Boots,-1.989278362,52.98701852
497,Boots,-2.02453064,53.10588817
502,Boots,-2.738075446,52.22683145
522,Borno Chemists,0.555047947,51.87992121
567,Boots,-0.07186953,52.32333867
588,Dean View CMHT,-3.652352293,50.78771876
590,Elizabeth Dibben Centre,-0.859974961,51.10802522
610,Boots,0.169696173,52.12375004
618,Boots,0.699949048,51.83613404
620,Boots,0.936261559,51.89164367
621,Boots,0.912183129,51.88141409
622,Boots,0.96388441,51.86941969
633,Kington Pharmacy,-3.029940886,52.20341318
682,Axbridge Pharmacy,-2.817315292,51.28688747
689,Tyrrell Hospital,-4.124420481,51.20451365
692,Torrington Hospital,-4.13696804,50.95472645
693,Lings Bar Hospital,-1.099820756,52.92256985
697,Cherry Tree House,1.126628916,51.08989466
722,Well Pharmacy,0.6361886,51.94309746
723,Well Pharmacy,0.125122602,52.28757904
724,Well Pharmacy,0.106818781,52.25162517
742,Chepstow Community Hospital,-2.686560851,51.63939501
744,Plymouth Child Development Centre,-4.163131621,50.39034761
761,Well Pharmacy,-3.067402478,54.99516652
766,Dalston Pharmacy,-2.998448863,55.15092227
772,Dunmow Clinic,0.362843818,51.86989377
774,Alton Health Centre,-0.966973736,51.1537391
775,Bassetlaw Mental Health Services,-1.121091167,53.30363749
776,Community Nurses Office,-2.080134295,51.06535648
777,Community Mental Health Services,0.339528336,53.14463235
783,Mental Health Services,-1.485804429,53.02908637
794,Boots,-0.492411857,53.73831513
795,Boots,-0.173185535,53.71894522
798,Boots,0.033026112,53.73011648
804,Boots,-0.733159146,53.75280752
810,Lloyds Pharmacy,-0.571497143,53.72910213
812,Lloyds Pharmacy,-0.872047663,53.7071575
813,Lloyds Pharmacy,-0.417501873,53.84687403
815,Boots,-0.438389473,54.00433454
816,Boots,-0.872363764,53.70496726
