index,geometry,point_lon,point_lat
0,POINT (-0.4712113874118363 52.12862228931041),-0.471211387,52.12862229
1,POINT (-0.4746370875422258 51.89479328910814),-0.474637088,51.89479329
2,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
3,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
4,POINT (-0.4843674875478322 51.89180748910557),-0.484367488,51.89180749
5,POINT (-0.2026618871902188 52.33285528948679),-0.202661887,52.33285529
6,POINT (-0.2026618871902188 52.33285528948679),-0.202661887,52.33285529
7,POINT (0.1368829128524223 52.17306738934595),0.136882913,52.17306739
8,POINT (-0.0168562875787574 51.52251458879972),-0.016856288,51.52251459
9,POINT (-0.1514422876278679 51.52283638879794),-0.151442288,51.52283639
10,POINT (-0.2118405874213809 51.92422028913364),-0.211840587,51.92422029
11,POINT (-0.1939772874832919 51.80267238903072),-0.193977287,51.80267239
12,POINT (-0.4010739876466428 51.656277288906),-0.401073988,51.65627729
13,POINT (0.08580921260311332 51.77104988900619),0.085809213,51.77104989
14,POINT (-0.4036238876520247 51.64853798889948),-0.403623888,51.64853799
15,POINT (0.6877328126804176 51.55385928883786),0.687732813,51.55385929
16,POINT (0.6877328126804176 51.55385928883786),0.687732813,51.55385929
17,POINT (0.4469670132963284 52.75661518984963),0.446967013,52.75661519
18,POINT (1.756302113577515 52.47670668959817),1.756302114,52.47670669
19,POINT (1.717897513616662 52.56183218966853),1.717897514,52.56183219
20,POINT (1.220275213488914 52.61718468971794),1.220275213,52.61718469
21,POINT (-0.0898346876023788 51.52761138880279),-0.089834688,51.52761139
22,POINT (0.02559711247575731 51.58958158885537),0.025597112,51.58958159
23,POINT (0.7092480130913337 52.23161458939443),0.709248013,52.23161459
24,POINT (0.11211401250136 51.58029588884902),0.112114013,51.58029589
25,POINT (0.11211401250136 51.58029588884902),0.112114013,51.58029589
26,POINT (-0.04612318757311758 51.55041818882216),-0.046123188,51.55041819
27,POINT (0.1719211124856102 51.51771568879895),0.171921112,51.51771569
28,POINT (-0.05886868759672665 51.51787078879525),-0.058868688,51.51787079
29,POINT (-0.02752948766549631 51.38114668868442),-0.027529488,51.38114669
30,POINT (0.003072812460710606 51.57776818884535),0.003072812,51.57776819
31,POINT (-0.04214448758643857 51.52507338880142),-0.042144488,51.52507339
32,POINT (0.03521791243991691 51.52236388880042),0.035217912,51.52236389
33,POINT (-0.1000462876120084 51.5174959887943),-0.100046288,51.51749599
34,POINT (-0.04612318757311758 51.55041818882216),-0.046123188,51.55041819
35,POINT (-0.08825338757150586 51.57978318884572),-0.088253388,51.57978319
36,POINT (-0.1317038876128533 51.53613448880919),-0.131703888,51.53613449
37,POINT (-0.1207461876170865 51.52186258879757),-0.120746188,51.52186259
38,POINT (-0.0898346876023788 51.52761138880279),-0.089834688,51.52761139
39,POINT (-0.07434058754705859 51.61312188887349),-0.074340588,51.61312189
40,POINT (-0.3227379876622257 51.57544228883925),-0.322737988,51.57544229
41,POINT (-0.1720674876185806 51.5521468888218),-0.172067488,51.55214689
42,POINT (-0.1653390876155587 51.55303678882265),-0.165339088,51.55303679
43,POINT (-0.1654127876155607 51.55308108882268),-0.165412788,51.55308109
44,POINT (-0.3111257876257824 51.63146258888607),-0.311125788,51.63146259
45,POINT (-0.1247567876139973 51.52973608880402),-0.124756788,51.52973609
46,POINT (-0.1398753875982149 51.56664848883423),-0.139875388,51.56664849
47,POINT (-0.1398753875982149 51.56664848883423),-0.139875388,51.56664849
48,POINT (-0.1398753875982149 51.56664848883423),-0.139875388,51.56664849
49,POINT (-0.1422451876236649 51.5242154887992),-0.142245188,51.52421549
50,POINT (-0.2002452876741556 51.47423138875723),-0.200245288,51.47423139
51,POINT (-0.1422451876236649 51.5242154887992),-0.142245188,51.52421549
52,POINT (-0.1818675876613828 51.48448408876594),-0.181867588,51.48448409
53,POINT (-0.3243211877211913 51.47362888875482),-0.324321188,51.47362889
54,POINT (-0.4612384877445574 51.52520778879573),-0.461238488,51.52520779
55,POINT (-0.2210553876742621 51.48746358876779),-0.221055388,51.48746359
56,POINT (-0.1743486876392853 51.51781078879349),-0.174348688,51.51781079
57,POINT (-0.3227379876622257 51.57544228883925),-0.322737988,51.57544229
58,POINT (-0.1702565876546299 51.48870098876959),-0.170256588,51.48870099
59,POINT (-0.1743486876392853 51.51781078879349),-0.174348688,51.51781079
60,POINT (-0.08852928761524469 51.50467878878398),-0.088529288,51.50467879
61,POINT (-0.08852928761524469 51.50467878878398),-0.088529288,51.50467879
62,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
63,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
64,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
65,POINT (0.05000861241912816 51.47794898876445),0.050008612,51.47794899
66,POINT (-0.0170138876194693 51.453062488743),-0.017013888,51.45306249
67,POINT (0.05568861240520703 51.45087188874255),0.055688612,51.45087189
68,POINT (-0.09093828763733293 51.46829068875413),-0.090938288,51.46829069
69,POINT (-0.111186087690867 51.38929388868938),-0.111186088,51.38929389
70,POINT (-0.3260076877483918 51.42748558871681),-0.326007688,51.42748559
71,POINT (-0.3260076877483918 51.42748558871681),-0.326007688,51.42748559
72,POINT (-0.2824060877392563 51.41482288870714),-0.282406088,51.41482289
73,POINT (-0.1676839876843465 51.43590098872635),-0.167683988,51.43590099
74,POINT (-0.1910218877468159 51.34344858865058),-0.191021888,51.34344859
