index,origin_id,number
0,E02000001,2
1,E02000002,1
2,E02000003,1
3,E02000004,1
4,E02000005,1
5,E02000007,1
6,E02000008,1
7,E02000009,1
8,E02000010,1
9,E02000011,1
10,E02000012,1
11,E02000013,1
12,E02000014,1
13,E02000015,1
14,E02000016,2
15,E02000017,1
16,E02000018,1
17,E02000019,1
18,E02000020,2
19,E02000021,1
20,E02000022,2
21,E02000023,1
22,E02000024,2
23,E02000025,1
24,E02000026,1
25,E02000027,1
26,E02000028,1
27,E02000029,1
28,E02000030,1
29,E02000031,1
30,E02000032,1
31,E02000033,1
32,E02000034,1
33,E02000035,1
34,E02000036,2
35,E02000037,2
36,E02000038,1
37,E02000039,2
38,E02000040,2
39,E02000041,1
40,E02000042,1
41,E02000043,2
42,E02000044,2
43,E02000045,1
44,E02000046,1
45,E02000047,2
46,E02000048,1
47,E02000049,2
48,E02000050,1
49,E02000051,1
50,E02000052,1
51,E02000053,2
52,E02000054,2
53,E02000055,2
54,E02000056,1
55,E02000057,2
56,E02000058,2
57,E02000059,2
58,E02000060,2
59,E02000061,2
60,E02000062,2
61,E02000063,2
62,E02000064,2
63,E02000065,1
64,E02000066,1
65,E02000067,1
66,E02000068,1
67,E02000069,1
68,E02000070,1
69,E02000071,1
70,E02000072,1
71,E02000073,1
72,E02000074,1
73,E02000075,1
74,E02000077,1
75,E02000078,1
76,E02000079,1
77,E02000080,1
78,E02000081,1
79,E02000082,1
80,E02000083,1
81,E02000084,1
82,E02000085,1
83,E02000086,1
84,E02000087,1
85,E02000088,1
86,E02000089,1
87,E02000090,1
88,E02000091,1
89,E02000092,1
90,E02000093,2
91,E02000094,2
92,E02000095,2
93,E02000096,2
94,E02000097,3
95,E02000098,2
96,E02000099,2
97,E02000100,2
98,E02000101,3
99,E02000102,3
100,E02000103,3
101,E02000104,2
102,E02000105,2
103,E02000106,3
104,E02000107,2
105,E02000108,2
106,E02000109,2
107,E02000110,3
108,E02000111,2
109,E02000112,2
110,E02000113,2
111,E02000114,3
112,E02000115,3
113,E02000116,3
114,E02000117,2
115,E02000118,2
116,E02000119,3
117,E02000120,2
118,E02000121,2
119,E02000122,3
120,E02000123,2
121,E02000124,2
122,E02000125,2
123,E02000126,1
