origin_id,number
E02000001,2
E02000002,1
E02000003,1
E02000004,1
E02000005,1
E02000007,1
E02000008,1
E02000009,1
E02000010,1
E02000011,1
E02000012,1
E02000013,1
E02000014,1
E02000015,1
E02000016,2
E02000017,1
E02000018,1
E02000019,1
E02000020,2
E02000021,1
E02000022,2
E02000023,1
E02000024,2
E02000025,1
E02000026,1
E02000027,1
E02000028,1
E02000029,1
E02000030,1
E02000031,1
E02000032,1
E02000033,1
E02000034,1
E02000035,1
E02000036,2
E02000037,2
E02000038,1
E02000039,2
E02000040,2
E02000041,1
E02000042,1
E02000043,2
E02000044,2
E02000045,1
E02000046,1
E02000047,2
E02000048,1
E02000049,2
E02000050,1
E02000051,1
E02000052,1
E02000053,2
E02000054,2
E02000055,2
E02000056,1
E02000057,2
E02000058,2
E02000059,2
E02000060,2
E02000061,2
E02000062,2
E02000063,2
E02000064,2
E02000065,1
E02000066,1
E02000067,1
E02000068,1
E02000069,1
E02000070,1
E02000071,1
E02000072,1
E02000073,1
E02000074,1
E02000075,1
E02000077,1
E02000078,1
E02000079,1
E02000080,1
E02000081,1
E02000082,1
E02000083,1
E02000084,1
E02000085,1
E02000086,1
E02000087,1
E02000088,1
E02000089,1
E02000090,1
E02000091,1
E02000092,1
E02000093,2
E02000094,2
E02000095,2
E02000096,2
E02000097,3
E02000098,2
E02000099,2
E02000100,2
E02000101,3
E02000102,3
E02000103,3
E02000104,2
E02000105,2
E02000106,3
E02000107,2
E02000108,2
E02000109,2
E02000110,3
E02000111,2
E02000112,2
E02000113,2
E02000114,3
E02000115,3
E02000116,3
E02000117,2
E02000118,2
E02000119,3
E02000120,2
E02000121,2
E02000122,3
E02000123,2
E02000124,2
E02000125,2
E02000126,1
E02000127,1
E02000128,1
E02000130,2
E02000131,2
E02000132,1
E02000133,1
E02000134,1
E02000135,2
E02000136,1
E02000137,1
E02000138,1
E02000139,2
E02000140,1
E02000141,2
E02000142,1
E02000144,1
E02000145,1
E02000146,1
E02000147,1
E02000148,1
E02000149,1
E02000150,2
E02000151,1
E02000152,1
E02000153,2
E02000154,1
E02000155,1
E02000156,2
E02000157,1
E02000158,1
E02000159,1
E02000160,2
