origin_id,number
E02000001,623
E02000002,69
E02000003,68
E02000004,42
E02000005,73
E02000007,65
E02000008,82
E02000009,98
E02000010,67
E02000011,45
E02000012,113
E02000013,100
E02000014,81
E02000015,65
E02000016,196
E02000017,144
E02000018,135
E02000019,86
E02000020,202
E02000021,68
E02000022,192
E02000023,147
E02000024,114
E02000025,154
E02000026,137
E02000027,125
E02000028,193
E02000029,173
E02000030,93
E02000031,249
E02000032,191
E02000033,196
E02000034,265
E02000035,320
E02000036,152
E02000037,140
E02000038,330
E02000039,260
E02000040,279
E02000041,132
E02000042,399
E02000043,378
E02000044,239
E02000045,390
E02000046,419
E02000047,276
E02000048,360
E02000049,319
E02000050,420
E02000051,454
E02000052,458
E02000053,344
E02000054,384
E02000055,422
E02000056,470
E02000057,454
E02000058,480
E02000059,459
E02000060,465
E02000061,528
E02000062,508
E02000063,530
E02000064,544
E02000065,63
E02000066,64
E02000067,57
E02000068,36
E02000069,47
E02000070,78
E02000071,36
E02000072,34
E02000073,62
E02000074,35
E02000075,49
E02000077,75
E02000078,38
E02000079,54
E02000080,82
E02000081,49
E02000082,151
E02000083,42
E02000084,59
E02000085,59
E02000086,89
E02000087,52
E02000088,61
E02000089,127
E02000090,64
E02000091,60
E02000092,60
E02000093,276
E02000094,325
E02000095,317
E02000096,224
E02000097,400
E02000098,273
E02000099,285
E02000100,225
E02000101,358
E02000102,402
E02000103,509
E02000104,320
E02000105,261
E02000106,419
E02000107,535
E02000108,255
E02000109,375
E02000110,526
E02000111,289
E02000112,369
E02000113,399
E02000114,528
E02000115,561
E02000116,526
E02000117,436
E02000118,314
E02000119,460
E02000120,569
E02000121,367
E02000122,556
E02000123,498
E02000124,576
E02000125,562
E02000126,606
E02000127,201
E02000128,149
E02000130,350
E02000131,355
E02000132,220
E02000133,86
E02000134,172
E02000135,348
E02000136,64
E02000137,169
E02000138,202
E02000139,288
E02000140,60
E02000141,312
E02000142,129
E02000144,138
E02000145,56
E02000146,118
E02000147,143
E02000148,69
E02000149,61
E02000150,186
E02000151,64
E02000152,75
E02000153,114
E02000154,58
E02000155,42
E02000156,136
E02000157,53
E02000158,33
E02000159,62
E02000160,110
E02000161,36
E02000162,45
E02000163,32
E02000165,23
E02000166,573
E02000167,578
E02000168,586
E02000169,563
E02000170,557
E02000171,590
E02000172,594
E02000173,581
E02000174,598
E02000175,563
E02000176,584
E02000177,589
E02000178,569
E02000179,600
E02000180,604
E02000181,571
E02000182,585
E02000183,611
E02000184,626
E02000185,595
E02000186,630
E02000187,641
E02000188,648
E02000189,641
E02000190,644
E02000191,655
E02000192,646
E02000193,652
E02000194,408
E02000195,436
E02000196,435
E02000197,424
E02000198,356
E02000199,326
E02000200,317
E02000201,274
E02000202,348
E02000203,334
E02000204,345
E02000206,274
E02000207,220
E02000208,285
E02000209,282
E02000210,177
E02000211,171
E02000212,273
E02000213,227
E02000214,163
E02000215,173
E02000216,160
E02000217,191
E02000218,136
E02000219,145
E02000220,171
E02000221,154
E02000222,140
E02000223,64
E02000224,134
E02000225,55
E02000226,91
E02000227,72
E02000228,97
E02000229,44
E02000230,95
E02000231,85
E02000232,64
E02000233,73
E02000234,75
E02000235,61
E02000236,72
E02000237,54
E02000238,184
E02000239,225
E02000240,133
E02000241,138
E02000242,287
E02000243,234
E02000244,249
E02000245,116
E02000246,109
E02000247,161
E02000248,403
E02000249,198
E02000250,325
E02000251,181
E02000252,488
E02000253,218
E02000254,144
E02000255,258
E02000256,294
E02000257,386
E02000258,443
E02000259,217
E02000260,137
E02000261,536
E02000262,471
E02000263,95
E02000264,405
E02000265,277
E02000266,143
E02000267,245
E02000268,356
E02000269,313
E02000270,454
E02000271,493
E02000272,296
E02000274,93
E02000275,106
E02000276,363
E02000277,81
E02000278,85
E02000279,88
E02000280,105
E02000281,102
E02000282,112
E02000283,116
E02000284,116
E02000285,118
E02000286,109
E02000287,103
E02000288,146
E02000289,130
E02000290,142
E02000291,135
E02000292,144
E02000293,146
E02000294,172
E02000295,169
E02000296,169
E02000297,209
E02000298,221
E02000299,262
E02000300,264
E02000301,233
E02000302,297
E02000303,298
E02000304,236
E02000305,279
E02000306,332
E02000307,323
E02000308,255
E02000309,363
E02000311,360
E02000312,315
E02000313,80
E02000314,134
E02000315,71
E02000316,281
E02000317,318
E02000318,175
E02000319,219
E02000320,123
E02000321,240
E02000323,234
E02000324,374
E02000326,401
E02000327,240
E02000328,427
E02000329,178
E02000331,351
E02000332,253
E02000333,393
E02000334,339
E02000335,258
E02000337,328
E02000339,39
E02000340,214
E02000341,305
E02000342,130
E02000343,196
E02000344,186
E02000345,523
E02000346,548
E02000347,541
E02000348,533
E02000350,555
E02000351,540
E02000352,545
E02000353,555
E02000354,555
E02000355,554
E02000356,580
E02000357,527
E02000358,597
E02000359,534
E02000360,585
E02000361,584
E02000362,517
E02000363,565
E02000364,590
E02000365,620
E02000366,558
E02000367,589
E02000368,602
E02000369,618
E02000370,629
E02000371,642
E02000372,584
E02000373,540
E02000374,543
E02000375,577
E02000376,567
E02000377,551
E02000378,586
E02000379,539
E02000380,568
E02000381,579
E02000382,553
E02000383,596
E02000384,580
E02000385,579
E02000386,583
E02000387,556
E02000388,576
E02000389,554
E02000390,558
E02000391,612
E02000392,557
E02000393,555
E02000394,599
E02000395,587
E02000396,580
E02000397,381
E02000398,405
E02000400,338
E02000401,387
E02000402,409
E02000403,401
E02000404,439
E02000405,426
E02000406,449
E02000407,459
E02000408,458
E02000409,451
E02000410,426
E02000411,435
E02000412,465
E02000413,477
E02000414,453
E02000415,488
E02000416,525
E02000417,522
E02000418,509
E02000419,526
E02000420,484
E02000421,460
E02000422,508
E02000423,532
E02000424,541
E02000425,513
E02000426,528
E02000427,528
E02000428,533
E02000429,543
E02000430,538
E02000431,567
E02000432,560
E02000433,128
E02000434,173
E02000435,104
E02000436,88
E02000437,104
E02000438,91
E02000439,228
E02000440,165
E02000441,81
E02000442,231
E02000443,134
E02000444,183
E02000445,148
E02000447,119
E02000448,98
E02000449,244
E02000451,120
E02000452,156
E02000453,128
E02000454,105
E02000455,181
E02000456,154
E02000457,128
E02000459,160
E02000460,140
E02000461,212
E02000462,152
E02000463,144
