index,geometry,point_lon,point_lat
0,POINT (-0.4712113874118363 52.12862228931041),-0.471211387,52.12862229
7,POINT (0.1368829128524223 52.17306738934595),0.136882913,52.17306739
13,POINT (0.08580921260311332 51.77104988900619),0.085809213,51.77104989
17,POINT (0.4469670132963284 52.75661518984963),0.446967013,52.75661519
18,POINT (1.756302113577515 52.47670668959817),1.756302114,52.47670669
19,POINT (1.717897513616662 52.56183218966853),1.717897514,52.56183219
20,POINT (1.220275213488914 52.61718468971794),1.220275213,52.61718469
84,POINT (-1.594413987839072 52.28882898946644),-1.594413988,52.28882899
89,POINT (-2.706022488541501 52.0571679892706),-2.706022489,52.05716799
90,POINT (-2.181264188189187 52.19238108938759),-2.181264188,52.19238109
94,POINT (-1.135565787445261 52.62555588976592),-1.135565787,52.62555589
97,POINT (-0.6406481870643337 52.92100109002475),-0.640648187,52.92100109
98,POINT (-0.150223786914448 52.80182468990289),-0.150223787,52.80182469
100,POINT (-0.5194789868498179 53.23357109031061),-0.519478987,53.23357109
106,POINT (-1.157021187272626 52.99045279010583),-1.157021187,52.99045279
107,POINT (-1.206701087222759 53.1419208902506),-1.206701087,53.14192089
108,POINT (-3.033590488358421 52.88446709007042),-3.033590488,52.88446709
109,POINT (-2.792694588291269 52.70897168989116),-2.792694588,52.70897169
121,POINT (-2.957390387493354 54.89641149212031),-2.957390387,54.89641149
123,POINT (-1.467912986515717 55.02542189212884),-1.467912987,55.02542189
130,POINT (-1.102235886768148 53.9877204910619),-1.102235887,53.98772049
134,POINT (-1.517562386986743 53.99371049109297),-1.517562387,53.99371049
136,POINT (-0.4463536865476935 53.7725953908165),-0.446353687,53.77259539
137,POINT (-1.217246786575824 54.55261979163015),-1.217246787,54.55261979
141,POINT (-1.109603786986316 53.53076249061802),-1.109603787,53.53076249
156,POINT (-1.564676086777633 54.53175269163501),-1.564676087,54.53175269
161,POINT (-2.899580288048859 53.41196799058829),-2.899580288,53.41196799
168,POINT (-2.476518787921937 53.11844419027838),-2.476518788,53.11844419
172,POINT (-2.610821487880084 53.39404219055647),-2.610821488,53.39404219
173,POINT (-3.095527888189668 53.36905019055465),-3.095527888,53.36905019
188,POINT (-3.01375158795087 53.82058799100794),-3.013751588,53.82058799
209,POINT (-1.110930288147202 51.28153308858369),-1.110930288,51.28153309
216,POINT (0.9144713124956598 51.14143278852265),0.914471312,51.14143279
